Log-Kategorie,Ordner,Dateiname,Datum,Zeit,Severity,Type/Source,Description
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,20:54:19.083,error,3583x similar to 'loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP4_TERA_IN_5760x1416_202506101734.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP4_TERA_IN_5760x1416_202506101734.mov' failed',
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,20:54:19.083,error,6577x similar to 'loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP6_TERA_LOOP_5476x1416_202506101734.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP6_TERA_LOOP_5476x1416_202506101734.mov' failed',
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,20:55:19.139,error,534x similar to 'loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP6_TERA_LOOP_5476x1416_202506101734.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP6_TERA_LOOP_5476x1416_202506101734.mov' failed',
pixera_logs,,rx_log-2.txt,Fri 17.Oct. ,01:56:09.343,error,2x similar to 'decoding 'D:/RX-Cache-Preview/RX-Cache-Preview/D%3A\GH_Integration_Delivery\MURA_STILLS\MURA_DP6_STILL.jpg' failed',
pixera_logs,,rx_log-2.txt,Fri 17.Oct. ,03:29:36.454,error,7x similar to 'decoding 'D:/RX-Cache-Preview/RX-Cache-Preview/D%3A\GH_Integration_Delivery\MURA_STILLS\MURA_DP6_STILL.jpg' failed',
pixera_logs,,rx_log-3.txt,Fri 26.Sep. ,14:13:40.554,warning,"invalid projection matrix (LRTB: -0.0487481, -0.0487481, 0, 0 / Z-NF: 10, 5e+13)",
pixera_logs,,rx_log-3.txt,Fri 26.Sep. ,14:13:40.564,warning,"invalid projection matrix (LRTB: -7.50716e-05, -7.50716e-05, 0, 0 / Z-NF: 10, 5e+13)",
pixera_logs,,rx_log-3.txt,Fri 26.Sep. ,14:13:40.564,warning,"invalid projection matrix (LRTB: 0.0678019, 0.0678019, 0, 0 / Z-NF: 10, 5e+13)",
pixera_logs,,rx_log-3.txt,Fri 26.Sep. ,14:13:40.564,warning,"invalid projection matrix (LRTB: 8.12691e-05, 8.12691e-05, 0, 0 / Z-NF: 10, 5e+13)",
pixera_logs,,rx_log-3.txt,Fri 26.Sep. ,14:13:40.564,warning,"invalid projection matrix (LRTB: -7.53298e-05, -7.53298e-05, 0, 0 / Z-NF: 10, 5e+13)",
pixera_logs,,rx_log-3.txt,Fri 26.Sep. ,14:13:40.564,warning,"invalid projection matrix (LRTB: 0.0678022, 0.0678022, 0, 0 / Z-NF: 10, 5e+13)",
pixera_logs,,rx_log-3.txt,Fri 26.Sep. ,14:14:26.470,warning,"335x similar to 'invalid projection matrix (LRTB: -0.0487481, -0.0487481, 0, 0 / Z-NF: 10, 5e+13)'",
pixera_logs,,rx_log-3.txt,Fri 26.Sep. ,14:14:26.470,warning,"335x similar to 'invalid projection matrix (LRTB: 8.12691e-05, 8.12691e-05, 0, 0 / Z-NF: 10, 5e+13)'",
pixera_logs,,rx_log-3.txt,Fri 26.Sep. ,14:14:26.470,warning,"675x similar to 'invalid projection matrix (LRTB: -7.53298e-05, -7.53298e-05, 0, 0 / Z-NF: 10, 5e+13)'",
pixera_logs,,rx_log-3.txt,Fri 26.Sep. ,14:14:26.470,warning,"675x similar to 'invalid projection matrix (LRTB: 0.0678022, 0.0678022, 0, 0 / Z-NF: 10, 5e+13)'",
pixera_logs,,rx_log-3.txt,Fri 26.Sep. ,14:16:08.416,warning,"invalid projection matrix (LRTB: -nan(ind), -nan(ind), -nan(ind), -nan(ind) / Z-NF: 10, 5e+13)",
pixera_logs,,rx_log-3.txt,Fri 26.Sep. ,14:16:26.585,warning,"1434x similar to 'invalid projection matrix (LRTB: -nan(ind), -nan(ind), -nan(ind), -nan(ind) / Z-NF: 10, 5e+13)'",
pixera_logs,,rx_log-3.txt,Wed 01.Oct. ,11:36:57.977,error,decoding 'C:/RX-Cache-Preview/D%3A\GH_Integration_v1\WALL_B\full_wrap_YO\GH_DP6_WALL_5476x1416_202510011022_00_00_00_01.jpg' failed,
pixera_logs,,rx_log-3.txt,Wed 01.Oct. ,11:37:03.514,error,decoding 'C:/RX-Cache-Preview/D%3A\GH_Integration_v1\WALL_B\full_wrap_YO\GH_DP5_WALL_5760x1416_202510011022_00_00_00_01.jpg' failed,
pixera_logs,,rx_log-3.txt,Wed 01.Oct. ,12:09:32.586,error,decoding 'C:/RX-Cache-Preview/D%3A\GH_Integration_v1\WALL_B\full_wrap_YO\GH_DP1_WALL_5760x1416_202510011022_00_00_00_01.jpg' failed,
pixera_logs,,rx_log-3.txt,Wed 01.Oct. ,12:09:52.031,error,decoding 'C:/RX-Cache-Preview/D%3A\GH_Integration_v1\WALL_B\full_wrap_YO\GH_DP2_WALL_5760x1416_202510011022_00_00_00_01.jpg' failed,
pixera_logs,,rx_log-3.txt,Wed 01.Oct. ,12:10:05.340,error,decoding 'C:/RX-Cache-Preview/D%3A\GH_Integration_v1\WALL_B\full_wrap_YO\GH_DP3_WALL_5476x1416_202510011022_00_00_00_01.jpg' failed,
pixera_logs,,rx_log-3.txt,Wed 01.Oct. ,12:11:05.399,error,decoding 'C:/RX-Cache-Preview/D%3A\GH_Integration_v1\WALL_B\full_wrap_YO\GH_DP4_WALL_5760x1416_202510011022_00_00_00_01.jpg' failed,
